secid,trade_date,endpoint,ok,rows,error
SBER,2026-05-01,/market/intraday,True,0,
SBER,2026-05-01,/market/fact-5m,True,0,
SBER,2026-05-01,/market/daily-summary,True,0,
SBER,2026-05-02,/market/intraday,True,0,
SBER,2026-05-02,/market/fact-5m,True,0,
SBER,2026-05-02,/market/daily-summary,True,0,
SBER,2026-05-03,/market/intraday,True,0,
SBER,2026-05-03,/market/fact-5m,True,0,
SBER,2026-05-03,/market/daily-summary,True,0,
SBER,2026-05-04,/market/intraday,True,0,
SBER,2026-05-04,/market/fact-5m,True,0,
SBER,2026-05-04,/market/daily-summary,True,0,
SBER,2026-05-05,/market/intraday,True,0,
SBER,2026-05-05,/market/fact-5m,True,0,
SBER,2026-05-05,/market/daily-summary,True,0,
SBER,2026-05-06,/market/intraday,True,0,
SBER,2026-05-06,/market/fact-5m,True,0,
SBER,2026-05-06,/market/daily-summary,True,0,
SBER,2026-05-07,/market/intraday,True,0,
SBER,2026-05-07,/market/fact-5m,True,0,
SBER,2026-05-07,/market/daily-summary,True,0,
SBER,2026-05-08,/market/intraday,True,0,
SBER,2026-05-08,/market/fact-5m,True,0,
SBER,2026-05-08,/market/daily-summary,True,0,
SBER,2026-05-09,/market/intraday,True,0,
SBER,2026-05-09,/market/fact-5m,True,0,
SBER,2026-05-09,/market/daily-summary,True,0,
SBER,2026-05-10,/market/intraday,True,0,
SBER,2026-05-10,/market/fact-5m,True,0,
SBER,2026-05-10,/market/daily-summary,True,0,
SBER,2026-05-11,/market/intraday,True,0,
SBER,2026-05-11,/market/fact-5m,True,0,
SBER,2026-05-11,/market/daily-summary,True,0,
SBER,2026-05-12,/market/intraday,True,0,
SBER,2026-05-12,/market/fact-5m,True,0,
SBER,2026-05-12,/market/daily-summary,True,0,
SBER,2026-05-13,/market/intraday,True,0,
SBER,2026-05-13,/market/fact-5m,True,0,
SBER,2026-05-13,/market/daily-summary,True,0,
SBER,2026-05-14,/market/intraday,True,0,
SBER,2026-05-14,/market/fact-5m,True,0,
SBER,2026-05-14,/market/daily-summary,True,0,
SBER,2026-05-15,/market/intraday,True,0,
SBER,2026-05-15,/market/fact-5m,True,0,
SBER,2026-05-15,/market/daily-summary,True,0,
SBER,2026-05-16,/market/intraday,True,0,
SBER,2026-05-16,/market/fact-5m,True,0,
SBER,2026-05-16,/market/daily-summary,True,0,
SBER,2026-05-17,/market/intraday,True,0,
SBER,2026-05-17,/market/fact-5m,True,0,
SBER,2026-05-17,/market/daily-summary,True,0,
SBER,2026-05-18,/market/intraday,True,0,
SBER,2026-05-18,/market/fact-5m,True,0,
SBER,2026-05-18,/market/daily-summary,True,0,
SBER,2026-05-19,/market/intraday,True,0,
SBER,2026-05-19,/market/fact-5m,True,0,
SBER,2026-05-19,/market/daily-summary,True,0,
SBER,2026-05-20,/market/intraday,True,0,
SBER,2026-05-20,/market/fact-5m,True,0,
SBER,2026-05-20,/market/daily-summary,True,0,
SBER,2026-05-21,/market/intraday,True,0,
SBER,2026-05-21,/market/fact-5m,True,0,
SBER,2026-05-21,/market/daily-summary,True,0,
SBER,2026-05-22,/market/intraday,True,0,
SBER,2026-05-22,/market/fact-5m,True,0,
SBER,2026-05-22,/market/daily-summary,True,0,
SBER,2026-05-23,/market/intraday,True,0,
SBER,2026-05-23,/market/fact-5m,True,0,
SBER,2026-05-23,/market/daily-summary,True,0,
SBER,2026-05-24,/market/intraday,True,5000,
SBER,2026-05-24,/market/fact-5m,True,5000,
SBER,2026-05-24,/market/daily-summary,True,1,
SBER,2026-05-25,/market/intraday,True,0,
SBER,2026-05-25,/market/fact-5m,True,0,
SBER,2026-05-25,/market/daily-summary,True,0,
GAZP,2026-05-01,/market/intraday,True,0,
GAZP,2026-05-01,/market/fact-5m,True,0,
GAZP,2026-05-01,/market/daily-summary,True,0,
GAZP,2026-05-02,/market/intraday,True,0,
GAZP,2026-05-02,/market/fact-5m,True,0,
GAZP,2026-05-02,/market/daily-summary,True,0,
GAZP,2026-05-03,/market/intraday,True,0,
GAZP,2026-05-03,/market/fact-5m,True,0,
GAZP,2026-05-03,/market/daily-summary,True,0,
GAZP,2026-05-04,/market/intraday,True,0,
GAZP,2026-05-04,/market/fact-5m,True,0,
GAZP,2026-05-04,/market/daily-summary,True,0,
GAZP,2026-05-05,/market/intraday,True,0,
GAZP,2026-05-05,/market/fact-5m,True,0,
GAZP,2026-05-05,/market/daily-summary,True,0,
GAZP,2026-05-06,/market/intraday,True,0,
GAZP,2026-05-06,/market/fact-5m,True,0,
GAZP,2026-05-06,/market/daily-summary,True,0,
GAZP,2026-05-07,/market/intraday,True,0,
GAZP,2026-05-07,/market/fact-5m,True,0,
GAZP,2026-05-07,/market/daily-summary,True,0,
GAZP,2026-05-08,/market/intraday,True,0,
GAZP,2026-05-08,/market/fact-5m,True,0,
GAZP,2026-05-08,/market/daily-summary,True,0,
GAZP,2026-05-09,/market/intraday,True,0,
GAZP,2026-05-09,/market/fact-5m,True,0,
GAZP,2026-05-09,/market/daily-summary,True,0,
GAZP,2026-05-10,/market/intraday,True,0,
GAZP,2026-05-10,/market/fact-5m,True,0,
GAZP,2026-05-10,/market/daily-summary,True,0,
GAZP,2026-05-11,/market/intraday,True,0,
GAZP,2026-05-11,/market/fact-5m,True,0,
GAZP,2026-05-11,/market/daily-summary,True,0,
GAZP,2026-05-12,/market/intraday,True,0,
GAZP,2026-05-12,/market/fact-5m,True,0,
GAZP,2026-05-12,/market/daily-summary,True,0,
GAZP,2026-05-13,/market/intraday,True,0,
GAZP,2026-05-13,/market/fact-5m,True,0,
GAZP,2026-05-13,/market/daily-summary,True,0,
GAZP,2026-05-14,/market/intraday,True,0,
GAZP,2026-05-14,/market/fact-5m,True,0,
